"user","grade"
"6eba3ff82",2.62697022882296
"05b604102",4.6701692941934
"111422ee7",9.2446001176343
"b4658c3a9",0
"e6ec47f29",8.23817863404414
"56dc40445",5.60420315303208
"bab4f0825",5.09632224176826
"4951e7386",8.29305312429485
"9d744e5bf",9.71161704705364
"0ef305578",9.35785172288758
"d93f7f0d3",2.62697022882296
"fc95def14",9.03911266772306
"dc40ae49d",7.7711617046248
"176bb0f33",8.51605370736418
"1dddd964c",5.01342673739047
"91fc5722e",8.82778750765425
"dd44e7585",5.60420315303208
"310c79a41",8.23817863404414
"93d1f2e82",5.60420315303208
"488b6e908",7.93461763066004
"e4f7cca85",8.90718038593749
"e7d532916",7.00875656738465
"78a890306",9.10215995353706
"ebd217fd4",9.45242265026589
"8bccbfa18",5.60420315303208
"bf46a6f13",3.96964390073573
"29049945c",7.27262113364114
"7a17472ef",7.93461763066004
"9e96fd448",7.38937536498897
"f99681e2f",7.97314652709881
"f911affae",4.6701692941934
"c8beecedd",6.22183304211196
"3e3a6ce0e",5.09632224176826
"417892918",9.45242265026589
"b4be3ed9f",8.82778750765425
"13ae7b9ac",4.6701692941934
"2dba4eea6",9.45242265026589
"f80cd4322",0
"121b44bef",7.97314652709881
"84221fc3b",6.22183304211196
"ec3b8cb91",5.85055458344512
"4dc9d84a0",8.58844133211566
"077584d71",9.97314652656175
"1434f44e1",9.58085230595691
"f98e6e2b8",9.5061295971424
"113496351",3.38587273862589
"b4ba8bbd5",9.45242265026589
"70581f7ef",7.27262113364114
"1813081bd",8.58844133211566
"a46e01dd3",5.60420315303208
"0ec99ce96",6.8884997085996
"31eedd54c",8.23817863404414
"57b5ca965",8.07705779341461
"aab7ad69f",7.7711617046248
"91489f7a9",6.84296555862906
"efe124d2f",7.93228254525434
"475586bc0",9.45242265026589
"aec21eaac",9.71161704705364
"c9608e10c",9.45242265026589
"f2e9d3686",6.84296555862906
"654da75e0",7.0262697032281
"d3e241674",9.97314652656175
"4b1055dba",7.27262113364114
"5305edc84",7.97314652709881
"36dde3dd4",6.8884997085996
"ab91130d4",6.22183304211196
"e567f4009",5.09632224176826
"590846fe3",2.62697022882296
"8e21dc99c",9.71161704705364
"72a9ecbd7",7.00875656738465
"308044e91",4.90367775823174
"53ca657b8",8.51605370736418
"5af253695",8.90718038593749
"6fccddb82",7.97314652709881
"53d6ab60c",9.03911266772306
"17d06c355",6.8884997085996
"ba76ebfab",8.82778750765425
"77b6d3f57",6.84296555862906
"f753ce9bf",8.23817863404414
"247247ac7",5.85055458344512
"86f00df48",7.97314652709881
"bebbc08bf",8.51605370736418
"13107114f",5.60420315303208
"82ed5d2d3",9.41622883923283
"a0df056a9",7.0262697032281
"f87eaa00c",2.80210157651604
"046c35846",4.90367775823174
"215b886a6",9.35785172288758
"4c7dfe845",0
"9bed223d9",8.58844133211566
"67774dc32",8.51605370736418
"c049ad090",5.60420315303208
"0604ff3d3",5.09632224176826
"91f8864ff",8.90718038593749
"6c3c364f3",9.97314652656175
"3970a954b",9.41622883923283
"8c70d6efc",9.35785172288758
"00a05cc62",3.96964390073573
"dc1de84bd",9.2446001176343
"1115dae61",7.97314652709881
"b6bad81ae",9.03911266772306
"f00e4ce1a",5.01342673739047
"1eee1b944",9.03911266772306
"2c2845d52",6.8884997085996
"a1639fc4e",8.82778750765425
"081b100cf",8.51605370736418
"3df19c0ee",8.23817863404414
"68a377c82",6.84296555862906
"e06debeb8",8.23817863404414
"3924dd271",9.22708698179085
"a48165ad5",7.27262113364114
"0857b3d8e",9.41622883923283
"b8907d293",9.2446001176343
"b93ed23a0",9.45242265026589
"ac54a1cb2",5.85055458344512
"d19a40ad6",3.96964390073573
"33946b26e",7.72679509668578
"654a12ceb",10
"a9554144c",8.51605370736418
"042b07ba1",7.93228254525434
"e1ef8e754",7.97314652709881
"bd3ede750",8.51605370736418
"0af619e4b",4.90367775823174
"d2c3ce9a4",7.00875656738465
"e7ea6fc25",5.60420315303208
"a41a75ca3",5.01342673739047
"111ad4bea",2.80210157651604
"7e2726f3c",9.41622883923283
"1be68632e",9.22708698179085
"278a75edf",7.0262697032281
